suburb,state,lga
BAAN BAA,NSW,NARRABRI (AREA)
BAANDEE,WA,KELLERBERRIN (SHIRE)
BABAKIN,WA,BRUCE ROCK (SHIRE)
BABBAGE ISLAND,WA,CARNARVON (SHIRE)
BABINDA,NSW,BOGAN (AREA)
BABINDA,QLD,CAIRNS (REGIONAL COUNCIL)
BABYL CREEK,NSW,KYOGLE (AREA)
BACCHUS MARSH,VIC,MOORABOOL (SHIRE)
BACK CREEK,NSW,BLAND (AREA)
BACK FOREST,NSW,SHOALHAVEN (CITY)
BACK PLAINS,QLD,TOOWOOMBA (REGIONAL COUNCIL)
BACK VALLEY,SA,VICTOR HARBOR (CITY)
BACKMEDE,NSW,RICHMOND VALLEY (AREA)
BACKWATER,NSW,ARMIDALE REGIONAL (AREA)
BADDAGINNIE,VIC,BENALLA (RURAL CITY)
BADEN,TAS,SOUTHERN MIDLANDS (MUNICIPALITY)
BADGEBUP,WA,KATANNING (SHIRE)
BADGER CREEK,VIC,YARRA RANGES (SHIRE)
BADGER HEAD,TAS,WEST TAMAR (MUNICIPALITY)
BADGERIN ROCK,WA,KOORDA (SHIRE)
BADGERYS CREEK,NSW,LIVERPOOL (CITY)
BADGIN,WA,YORK (SHIRE)
BADGINGARRA,WA,DANDARAGAN (SHIRE)
BADJA,NSW,SNOWY MONARO REGIONAL (AREA)
BADJALING,WA,QUAIRADING (SHIRE)
BADU ISLAND,QLD,TORRES STRAIT ISLAND (REGIONAL COUNCIL)
BAEL BAEL,VIC,GANNAWARRA (SHIRE)
BAERAMI,NSW,MUSWELLBROOK (AREA)
BAERAMI CREEK,NSW,MUSWELLBROOK (AREA)
BAFFLE CREEK,QLD,GLADSTONE (REGIONAL COUNCIL)
BAFFLE WEST,QLD,MARANOA (REGIONAL COUNCIL)
BAGDAD,TAS,SOUTHERN MIDLANDS (MUNICIPALITY)
BAGNOO,NSW,PORT MACQUARIE-HASTINGS (AREA)
BAGO,NSW,PORT MACQUARIE-HASTINGS (AREA)
BAGOT WELL,SA,LIGHT (REGIONAL COUNCIL)
BAGOTVILLE,NSW,BALLINA (AREA)
BAGSHOT,VIC,GREATER BENDIGO (CITY)
BAGSHOT NORTH,VIC,GREATER BENDIGO (CITY)
BAHGALLAH,VIC,GLENELG (SHIRE)
BAHRS SCRUB,QLD,LOGAN (CITY)
BAILIESTON,VIC,STRATHBOGIE (SHIRE)
BAILUP,WA,MUNDARING (SHIRE)
BAINES,NT,VICTORIA DALY (REGIONAL COUNCIL)
BAIRD BAY,SA,STREAKY BAY (DISTRICT COUNCIL)
BAIRNSDALE,VIC,EAST GIPPSLAND (SHIRE)
BAJOOL,QLD,ROCKHAMPTON (REGIONAL COUNCIL)
BAKARA,SA,KAROONDA EAST MURRAY (DISTRICT COUNCIL)
BAKARA WELL,SA,LOXTON WAIKERIE (DISTRICT COUNCIL)
BAKERS BEACH,TAS,LATROBE (MUNICIPALITY)
BAKERS BEND,QLD,MURWEH (SHIRE)
BAKERS CREEK,NSW,MID-COAST (AREA)
BAKERS CREEK,QLD,MACKAY (REGIONAL COUNCIL)
BAKERS HILL,WA,NORTHAM (SHIRE)
BAKERS SWAMP,NSW,WESTERN PLAINS REGIONAL (AREA)
BAKERY HILL,VIC,BALLARAT (CITY)
BAKEWELL,NT,PALMERSTON (CITY)
BAKING BOARD,QLD,WESTERN DOWNS (REGIONAL COUNCIL)
BALACLAVA,NSW,WINGECARRIBEE (AREA)
BALACLAVA,VIC,PORT PHILLIP (CITY)
BALAKLAVA,SA,WAKEFIELD (DISTRICT COUNCIL)
BALALA,NSW,URALLA (AREA)
BALBARRUP,WA,MANJIMUP (SHIRE)
BALBERRA,QLD,MACKAY (REGIONAL COUNCIL)
BALCATTA,WA,STIRLING (CITY)
BALCOLYN,NSW,LAKE MACQUARIE (CITY)
BALCOMBA,QLD,CENTRAL HIGHLANDS (REGIONAL COUNCIL)
BALD BLAIR,NSW,ARMIDALE REGIONAL (AREA)
BALD HILLS,NSW,BEGA VALLEY (AREA)
BALD HILLS,QLD,BRISBANE (CITY)
BALD HILLS,SA,YANKALILLA (DISTRICT COUNCIL)
BALD HILLS,VIC,BALLARAT (CITY)
BALD KNOB,QLD,SUNSHINE COAST (REGIONAL COUNCIL)
BALD NOB,NSW,GLEN INNES SEVERN (AREA)
BALD RIDGE,NSW,BATHURST REGIONAL (AREA)
BALDERSLEIGH,NSW,ARMIDALE REGIONAL (AREA)
BALDINA,SA,GOYDER (DISTRICT COUNCIL)
BALDIVIS,WA,ROCKINGHAM (CITY)
BALDRY,NSW,CABONNE (AREA)
BALFOURS PEAK,NSW,GWYDIR (AREA)
BALGA,WA,STIRLING (CITY)
BALGAL BEACH,QLD,TOWNSVILLE (CITY)
BALGOWAN,QLD,TOOWOOMBA (REGIONAL COUNCIL)
BALGOWAN,SA,YORKE PENINSULA (DISTRICT COUNCIL)
BALGOWLAH,NSW,NORTHERN BEACHES (AREA)
BALGOWLAH HEIGHTS,NSW,NORTHERN BEACHES (AREA)
BALGOWNIE,NSW,WOLLONGONG (CITY)
BALHANNAH,SA,ADELAIDE HILLS (DISTRICT COUNCIL)
BALICKERA,NSW,PORT STEPHENS (AREA)
BALINGUP,WA,DONNYBROOK-BALINGUP (SHIRE)
BALINTORE,VIC,COLAC-OTWAY (SHIRE)
BALKULING,WA,QUAIRADING (SHIRE)
BALL BAY,QLD,MACKAY (REGIONAL COUNCIL)
BALLA BALLA,WA,PORT HEDLAND (TOWN)
BALLADONG,WA,YORK (SHIRE)
BALLADONIA,WA,DUNDAS (SHIRE)
BALLADORAN,NSW,GILGANDRA (AREA)
BALLAJURA,WA,SWAN (CITY)
BALLALABA,NSW,QUEANBEYAN-PALERANG REGIONAL (AREA)
BALLAN,VIC,MOORABOOL (SHIRE)
BALLANDEAN,QLD,SOUTHERN DOWNS (REGIONAL COUNCIL)
BALLANGEICH,VIC,MOYNE (SHIRE)
BALLAPUR,VIC,BULOKE (SHIRE)
BALLARAT CENTRAL,VIC,BALLARAT (CITY)
BALLARAT EAST,VIC,BALLARAT (CITY)
BALLARAT NORTH,VIC,BALLARAT (CITY)
BALLARD,QLD,LOCKYER VALLEY (REGIONAL COUNCIL)
BALLAROO,QLD,MARANOA (REGIONAL COUNCIL)
BALLAST HEAD,SA,KANGAROO ISLAND (DISTRICT COUNCIL)
BALLAYING,WA,WAGIN (SHIRE)
BALLDALE,NSW,FEDERATION (AREA)
BALLENDELLA,VIC,CAMPASPE (SHIRE)
BALLENGARRA,NSW,PORT MACQUARIE-HASTINGS (AREA)
BALLIANG,VIC,GREATER GEELONG (CITY)
BALLIANG EAST,VIC,MOORABOOL (SHIRE)
BALLIDU,WA,WONGAN-BALLIDU (SHIRE)
BALLIMORE,NSW,WESTERN PLAINS REGIONAL (AREA)
BALLINA,NSW,BALLINA (AREA)
BALLOGIE,QLD,SOUTH BURNETT (REGIONAL COUNCIL)
BALLY BALLY,WA,BEVERLEY (SHIRE)
BALLYROE,NSW,OBERON (AREA)
BALLYROGAN,VIC,ARARAT (RURAL CITY)
BALMAIN,NSW,INNER WEST (AREA)
BALMAIN EAST,NSW,INNER WEST (AREA)
BALMATTUM,VIC,STRATHBOGIE (SHIRE)
BALMORAL,NSW,LAKE MACQUARIE (CITY)
BALMORAL,QLD,BRISBANE (CITY)
BALMORAL,VIC,SOUTHERN GRAMPIANS (SHIRE)
BALMORAL RIDGE,QLD,SUNSHINE COAST (REGIONAL COUNCIL)
BALNAGOWAN,QLD,MACKAY (REGIONAL COUNCIL)
BALNARRING,VIC,MORNINGTON PENINSULA (SHIRE)
BALNARRING BEACH,VIC,MORNINGTON PENINSULA (SHIRE)
BALOOK,VIC,LATROBE (CITY)
BALRANALD,NSW,BALRANALD (AREA)
BALWYN,VIC,BOROONDARA (CITY)
BALWYN NORTH,VIC,BOROONDARA (CITY)
BAMAGA,QLD,NORTHERN PENINSULA AREA (REGIONAL COUNCIL)
BAMARANG,NSW,SHOALHAVEN (CITY)
BAMAWM,VIC,CAMPASPE (SHIRE)
BAMAWM EXTENSION,VIC,CAMPASPE (SHIRE)
BAMBAROO,QLD,HINCHINBROOK (SHIRE)
BAMBOO,QLD,DOUGLAS (SHIRE)
BAMBOO CREEK,QLD,CASSOWARY COAST (REGIONAL COUNCIL)
BAMBRA,VIC,SURF COAST (SHIRE)
BAMBUN,WA,GINGIN (SHIRE)
BAMGANIE,VIC,GOLDEN PLAINS (SHIRE)
BAN BAN,QLD,NORTH BURNETT (REGIONAL COUNCIL)
BAN BAN SPRINGS,QLD,NORTH BURNETT (REGIONAL COUNCIL)
BANANA,QLD,BANANA (SHIRE)
BANCA,TAS,DORSET (MUNICIPALITY)
BANCROFT,QLD,NORTH BURNETT (REGIONAL COUNCIL)
BANDA BANDA,NSW,PORT MACQUARIE-HASTINGS (AREA)
BANDIANA,VIC,WODONGA (CITY)
BANDON GROVE,NSW,DUNGOG (AREA)
BANDY CREEK,WA,ESPERANCE (SHIRE)
BANDYA,WA,LAVERTON (SHIRE)
BANGADANG,NSW,SNOWY VALLEYS (AREA)
BANGALEE,NSW,SHOALHAVEN (CITY)
BANGALEE,QLD,LIVINGSTONE (SHIRE)
BANGALL,QLD,BARCALDINE (REGIONAL COUNCIL)
BANGALOW,NSW,BYRON (AREA)
BANGERANG,VIC,YARRIAMBIACK (SHIRE)
BANGHAM,SA,TATIARA (DISTRICT COUNCIL)
BANGHEET,NSW,GWYDIR (AREA)
BANGHOLME,VIC,GREATER DANDENONG (CITY)
BANGO,NSW,YASS VALLEY (AREA)
BANGOR,NSW,SUTHERLAND SHIRE (AREA)
BANGOR,SA,MOUNT REMARKABLE (DISTRICT COUNCIL)
BANGOR,TAS,LAUNCESTON (CITY)
BANJUP,WA,COCKBURN (CITY)
BANKS,ACT,UNINCORPORATED
BANKS CREEK,QLD,BRISBANE (CITY)
BANKS POCKET,QLD,GYMPIE (REGIONAL COUNCIL)
BANKSIA,NSW,ROCKDALE (CITY)
BANKSIA BEACH,QLD,MORETON BAY (REGIONAL COUNCIL)
BANKSIA GROVE,WA,WANNEROO (CITY)
BANKSIA PARK,SA,TEA TREE GULLY (CITY)
BANKSIADALE,WA,MURRAY (SHIRE)
BANKSMEADOW,NSW,BOTANY BAY (CITY)
BANKSTOWN,NSW,CANTERBURY-BANKSTOWN (AREA)
BANKSTOWN AERODROME,NSW,CANTERBURY-BANKSTOWN (AREA)
BANNABY,NSW,UPPER LACHLAN SHIRE (AREA)
BANNERTON,VIC,SWAN HILL (RURAL CITY)
BANNISTER,NSW,UPPER LACHLAN SHIRE (AREA)
BANNISTER,WA,BODDINGTON (SHIRE)
BANNOCKBURN,QLD,LOGAN (CITY)
BANNOCKBURN,VIC,GOLDEN PLAINS (SHIRE)
BANOON,NSW,TAMWORTH REGIONAL (AREA)
BANORA POINT,NSW,TWEED (AREA)
BANYABBA,NSW,CLARENCE VALLEY (AREA)
BANYAN,VIC,BULOKE (SHIRE)
BANYENA,VIC,NORTHERN GRAMPIANS (SHIRE)
BANYO,QLD,BRISBANE (CITY)
BAPAUME,QLD,SOUTHERN DOWNS (REGIONAL COUNCIL)
BAR BEACH,NSW,NEWCASTLE (CITY)
BAR POINT,NSW,CENTRAL COAST (CITY)
BARA,NSW,MID-WESTERN REGIONAL (AREA)
BARABBA,SA,ADELAIDE PLAINS (DISTRICT COUNCIL)
BARADINE,NSW,WARRUMBUNGLE SHIRE (AREA)
BARAKULA,QLD,WESTERN DOWNS (REGIONAL COUNCIL)
BARALABA,QLD,BANANA (SHIRE)
BARAMBAH,QLD,GYMPIE (REGIONAL COUNCIL)
BARANDUDA,VIC,WODONGA (CITY)
BARANGAROO,NSW,SYDNEY (CITY)
BARBALIN,WA,MUKINBUDIN (SHIRE)
BARBERTON,WA,MOORA (SHIRE)
BARCALDINE,QLD,BARCALDINE (REGIONAL COUNCIL)
BARCALDINE DOWNS,QLD,BARCALDINE (REGIONAL COUNCIL)
BARCOONGERE,NSW,CLARENCE VALLEY (AREA)
BARDEN RIDGE,NSW,SUTHERLAND SHIRE (AREA)
BARDIA,NSW,CAMPBELLTOWN (CITY)
BARDON,QLD,BRISBANE (CITY)
BARDWELL PARK,NSW,ROCKDALE (CITY)
BARDWELL VALLEY,NSW,ROCKDALE (CITY)
BAREE,QLD,ROCKHAMPTON (REGIONAL COUNCIL)
BARELLAN,NSW,BLAND (AREA)
BARELLAN POINT,QLD,IPSWICH (CITY)
BARFOLD,VIC,MOUNT ALEXANDER (SHIRE)
BARGARA,QLD,BUNDABERG (REGIONAL COUNCIL)
BARGO,NSW,WINGECARRIBEE (AREA)
BARGUNYAH,QLD,MARANOA (REGIONAL COUNCIL)
BARHAM,NSW,MURRAY RIVER (AREA)
BARIGAN,NSW,MID-WESTERN REGIONAL (AREA)
BARINGHUP,VIC,MOUNT ALEXANDER (SHIRE)
BARINGHUP WEST,VIC,MOUNT ALEXANDER (SHIRE)
BARINIA,SA,CLARE AND GILBERT VALLEYS (DISTRICT COUNCIL)
BARJARG,VIC,MANSFIELD (SHIRE)
BARKER CREEK FLAT,QLD,SOUTH BURNETT (REGIONAL COUNCIL)
BARKERS CREEK,VIC,MOUNT ALEXANDER (SHIRE)
BARKERS VALE,NSW,KYOGLE (AREA)
BARKLY,QLD,MOUNT ISA (CITY)
BARKLY,VIC,PYRENEES (SHIRE)
BARKSTEAD,VIC,MOORABOOL (SHIRE)
BARLIL,QLD,SOUTH BURNETT (REGIONAL COUNCIL)
BARLOWS HILL,QLD,LIVINGSTONE (SHIRE)
BARLYNE,QLD,NORTH BURNETT (REGIONAL COUNCIL)
BARMAH,VIC,MOIRA (SHIRE)
BARMARYEE,QLD,LIVINGSTONE (SHIRE)
BARMEDMAN,NSW,BLAND (AREA)
BARMERA,SA,BERRI AND BARMERA (DISTRICT COUNCIL)
BARMOYA,QLD,LIVINGSTONE (SHIRE)
BARNA,SA,KIMBA (DISTRICT COUNCIL)
BARNADOWN,VIC,GREATER BENDIGO (CITY)
BARNARD,QLD,CENTRAL HIGHLANDS (REGIONAL COUNCIL)
BARNAWARTHA,VIC,INDIGO (SHIRE)
BARNAWARTHA NORTH,VIC,WODONGA (CITY)
BARNDIOOTA,SA,FLINDERS RANGES (DISTRICT COUNCIL)
BARNES BAY,TAS,KINGBOROUGH (MUNICIPALITY)
BARNEY POINT,QLD,GLADSTONE (REGIONAL COUNCIL)
BARNEY VIEW,QLD,SCENIC RIM (REGIONAL COUNCIL)
BARNEYS REEF,NSW,MID-WESTERN REGIONAL (AREA)
BARNSLEY,NSW,LAKE MACQUARIE (CITY)
BAROMI,VIC,SOUTH GIPPSLAND (SHIRE)
BARONGAROOK,VIC,COLAC-OTWAY (SHIRE)
BARONGAROOK WEST,VIC,COLAC-OTWAY (SHIRE)
BAROOGA,NSW,BERRIGAN (AREA)
BAROONDAH,QLD,BANANA (SHIRE)
BAROOTA,SA,MOUNT REMARKABLE (DISTRICT COUNCIL)
BAROSSA GOLDFIELDS,SA,BAROSSA (DISTRICT COUNCIL)
BARRABA,NSW,GWYDIR (AREA)
BARRABOOL,VIC,SURF COAST (SHIRE)
BARRABUP,WA,NANNUP (SHIRE)
BARRACK HEIGHTS,NSW,SHELLHARBOUR (CITY)
BARRACK POINT,NSW,SHELLHARBOUR (CITY)
BARRAGANYATTI,NSW,KEMPSEY (AREA)
BARRAGGA BAY,NSW,BEGA VALLEY (AREA)
BARRAGUP,WA,MURRAY (SHIRE)
BARRAKEE,VIC,BULOKE (SHIRE)
BARRAMORNIE,QLD,WESTERN DOWNS (REGIONAL COUNCIL)
BARRAMUNGA,VIC,COLAC-OTWAY (SHIRE)
BARRAPORT,VIC,LODDON (SHIRE)
BARRAPORT WEST,VIC,LODDON (SHIRE)
BARRATTA,NSW,EDWARD RIVER (AREA)
BARRATTA,QLD,BURDEKIN (SHIRE)
BARREN GROUNDS,NSW,KIAMA (AREA)
BARRENGARRY,NSW,SHOALHAVEN (CITY)
BARRETTA,TAS,KINGBOROUGH (MUNICIPALITY)
BARRETTS CREEK,NSW,CLARENCE VALLEY (AREA)
BARRINE,QLD,TABLELANDS (REGIONAL COUNCIL)
BARRINGELLA,NSW,SHOALHAVEN (CITY)
BARRINGHA,QLD,TOWNSVILLE (CITY)
BARRINGTON,NSW,MID-COAST (AREA)
BARRINGTON,TAS,KENTISH (MUNICIPALITY)
BARRINGTON TOPS,NSW,MID-COAST (AREA)
BARRINGUN,QLD,PAROO (SHIRE)
BARRON,QLD,CAIRNS (REGIONAL COUNCIL)
BARRON GORGE,QLD,CAIRNS (REGIONAL COUNCIL)
BARROW ISLAND,WA,ASHBURTON (SHIRE)
BARRY,NSW,BLAYNEY (AREA)
BARRYS REEF,VIC,MOORABOOL (SHIRE)
BARTLE FRERE,QLD,CAIRNS (REGIONAL COUNCIL)
BARTON,ACT,UNINCORPORATED
BARUNAH PARK,VIC,GOLDEN PLAINS (SHIRE)
BARUNAH PLAINS,VIC,COLAC-OTWAY (SHIRE)
BARUNGA,NT,ROPER GULF (REGIONAL COUNCIL)
BARUNGA GAP,SA,WAKEFIELD (DISTRICT COUNCIL)
BARWANG,NSW,HILLTOPS (AREA)
BARWIDGEE,VIC,ALPINE (SHIRE)
BARWIDGI,QLD,MAREEBA (SHIRE)
BARWITE,VIC,MANSFIELD (SHIRE)
BARWON,NSW,WARRUMBUNGLE SHIRE (AREA)
BARWON DOWNS,VIC,COLAC-OTWAY (SHIRE)
BARWON HEADS,VIC,GREATER GEELONG (CITY)
BARYULGIL,NSW,CLARENCE VALLEY (AREA)
BASALT,QLD,CHARTERS TOWERS (REGIONAL COUNCIL)
BASALT,VIC,HEPBURN (SHIRE)
BASILISK,QLD,CASSOWARY COAST (REGIONAL COUNCIL)
BASIN POCKET,QLD,IPSWICH (CITY)
BASIN VIEW,NSW,SHOALHAVEN (CITY)
BASKERVILLE,WA,SWAN (CITY)
BASKET RANGE,SA,ADELAIDE HILLS (DISTRICT COUNCIL)
BASS,VIC,BASS COAST (SHIRE)
BASS HILL,NSW,CANTERBURY-BANKSTOWN (AREA)
BASSENDEAN,NSW,ARMIDALE REGIONAL (AREA)
BASSENDEAN,WA,BASSENDEAN (TOWN)
BATAR CREEK,NSW,PORT MACQUARIE-HASTINGS (AREA)
BATCHELOR,NT,COOMALIE (SHIRE)
BATEAU BAY,NSW,CENTRAL COAST (CITY)
BATEHAVEN,NSW,EUROBODALLA (AREA)
BATEMAN,WA,MELVILLE (CITY)
BATEMANS BAY,NSW,EUROBODALLA (AREA)
BATESFORD,VIC,GOLDEN PLAINS (SHIRE)
BATHAMPTON,NSW,BATHURST REGIONAL (AREA)
BATHUMI,VIC,MOIRA (SHIRE)
BATHURST,NSW,BATHURST REGIONAL (AREA)
BATLOW,NSW,SNOWY VALLEYS (AREA)
BATTERY HILL,QLD,SUNSHINE COAST (REGIONAL COUNCIL)
BATTERY POINT,TAS,HOBART (CITY)
BAUDIN,WA,AUGUSTA-MARGARET RIVER (SHIRE)
BAUDIN BEACH,SA,KANGAROO ISLAND (DISTRICT COUNCIL)
BAUHINIA,QLD,CENTRAL HIGHLANDS (REGIONAL COUNCIL)
BAULKHAM HILLS,NSW,THE HILLS SHIRE (AREA)
BAUPLE,QLD,FRASER COAST (REGIONAL COUNCIL)
BAUPLE FOREST,QLD,FRASER COAST (REGIONAL COUNCIL)
BAW BAW,NSW,GOULBURN MULWAREE (AREA)
BAW BAW,VIC,BAW BAW (SHIRE)
BAW BAW VILLAGE,VIC,UNINCORPORATED
BAWLEY POINT,NSW,SHOALHAVEN (CITY)
BAXTER,VIC,MORNINGTON PENINSULA (SHIRE)
BAXTERS RIDGE,NSW,MID-COAST (AREA)
BAY OF SHOALS,SA,KANGAROO ISLAND (DISTRICT COUNCIL)
BAYINDEEN,VIC,ARARAT (RURAL CITY)
BAYLES,VIC,CARDINIA (SHIRE)
BAYNTON,VIC,MACEDON RANGES (SHIRE)
BAYNTON,WA,KARRATHA (CITY)
BAYONET HEAD,WA,ALBANY (CITY)
BAYRICK,QLD,BLACKALL-TAMBO (REGIONAL COUNCIL)
BAYSWATER,VIC,KNOX (CITY)
BAYSWATER,WA,BAYSWATER (CITY)
BAYSWATER NORTH,VIC,MAROONDAH (CITY)
BAYVIEW,NSW,NORTHERN BEACHES (AREA)
BAYVIEW,NT,DARWIN (CITY)
BAYVIEW HEIGHTS,QLD,CAIRNS (REGIONAL COUNCIL)
BEACH HOLM,QLD,TOWNSVILLE (CITY)
BEACHLANDS,WA,GREATER GERALDTON (CITY)
BEACHMERE,QLD,MORETON BAY (REGIONAL COUNCIL)
BEACHPORT,SA,WATTLE RANGE (DISTRICT COUNCIL)
BEACON,WA,MOUNT MARSHALL (SHIRE)
BEACON HILL,NSW,NORTHERN BEACHES (AREA)
BEACONSFIELD,NSW,SYDNEY (CITY)
BEACONSFIELD,QLD,MACKAY (REGIONAL COUNCIL)
BEACONSFIELD,TAS,LATROBE (MUNICIPALITY)
BEACONSFIELD,VIC,CARDINIA (SHIRE)
BEACONSFIELD,WA,FREMANTLE (CITY)
BEACONSFIELD UPPER,VIC,CARDINIA (SHIRE)
BEADELL,WA,LAVERTON (SHIRE)
BEALIBA,VIC,CENTRAL GOLDFIELDS (SHIRE)
BEAN CREEK,NSW,KYOGLE (AREA)
BEARBONG,NSW,GILGANDRA (AREA)
BEARD,ACT,UNINCORPORATED
BEARII,VIC,MOIRA (SHIRE)
BEARS LAGOON,VIC,LODDON (SHIRE)
BEATRICE,QLD,TABLELANDS (REGIONAL COUNCIL)
BEATTY,SA,MID MURRAY (DISTRICT COUNCIL)
BEAUCHAMP,VIC,GANNAWARRA (SHIRE)
BEAUDESERT,QLD,SCENIC RIM (REGIONAL COUNCIL)
BEAUFORT,QLD,BARCALDINE (REGIONAL COUNCIL)
BEAUFORT,SA,WAKEFIELD (DISTRICT COUNCIL)
BEAUFORT,VIC,PYRENEES (SHIRE)
BEAUFORT RIVER,WA,WOODANILLING (SHIRE)
BEAUMARIS,TAS,BREAK O'DAY (MUNICIPALITY)
BEAUMARIS,VIC,BAYSIDE (CITY)
BEAUMONT,NSW,SHOALHAVEN (CITY)
BEAUMONT,SA,BURNSIDE (CITY)
BEAUMONT,WA,ESPERANCE (SHIRE)
BEAUMONT HILLS,NSW,THE HILLS SHIRE (AREA)
BEAUMONTS,SA,MID MURRAY (DISTRICT COUNCIL)
BEAUTY POINT,TAS,WEST TAMAR (MUNICIPALITY)
BEAVER ROCK,QLD,FRASER COAST (REGIONAL COUNCIL)
BEAZLEYS BRIDGE,VIC,NORTHERN GRAMPIANS (SHIRE)
BECKENHAM,WA,GOSNELLS (CITY)
BECKOM,NSW,BLAND (AREA)
BECTIVE,NSW,TAMWORTH REGIONAL (AREA)
BECTRIC,NSW,TEMORA (AREA)
BEDFORD,WA,BAYSWATER (CITY)
BEDFORD PARK,SA,MARION (CITY)
BEDFORDALE,WA,ARMADALE (CITY)
BEDGERABONG,NSW,FORBES (AREA)
BEDOURIE,QLD,DIAMANTINA (SHIRE)
BEEAC,VIC,COLAC-OTWAY (SHIRE)
BEEBO,QLD,GOONDIWINDI (REGIONAL COUNCIL)
BEECH FOREST,VIC,COLAC-OTWAY (SHIRE)
BEECHBORO,WA,SWAN (CITY)
BEECHER,QLD,GLADSTONE (REGIONAL COUNCIL)
BEECHFORD,TAS,GEORGE TOWN (MUNICIPALITY)
BEECHINA,WA,MUNDARING (SHIRE)
BEECHMONT,QLD,SCENIC RIM (REGIONAL COUNCIL)
BEECHWOOD,NSW,PORT MACQUARIE-HASTINGS (AREA)
BEECHWORTH,VIC,INDIGO (SHIRE)
BEECROFT,NSW,HORNSBY (AREA)
BEECROFT PENINSULA,NSW,SHOALHAVEN (CITY)
BEEDELUP,WA,MANJIMUP (SHIRE)
BEELA,WA,HARVEY (SHIRE)
BEELBANGERA,NSW,GRIFFITH (CITY)
BEELBEE,QLD,WESTERN DOWNS (REGIONAL COUNCIL)
BEELBI CREEK,QLD,FRASER COAST (REGIONAL COUNCIL)
BEELERUP,WA,DONNYBROOK-BALINGUP (SHIRE)
BEELIAR,WA,COCKBURN (CITY)
BEEMUNNEL,NSW,WARREN (AREA)
BEENAAM VALLEY,QLD,GYMPIE (REGIONAL COUNCIL)
BEENAK,VIC,YARRA RANGES (SHIRE)
BEENLEIGH,QLD,LOGAN (CITY)
BEENONG,WA,LAKE GRACE (SHIRE)
BEERBURRUM,QLD,SUNSHINE COAST (REGIONAL COUNCIL)
BEERMULLAH,WA,GINGIN (SHIRE)
BEERON,QLD,NORTH BURNETT (REGIONAL COUNCIL)
BEERWAH,QLD,SUNSHINE COAST (REGIONAL COUNCIL)
BEES CREEK,NT,LITCHFIELD (MUNICIPALITY)
BEETALOO VALLEY,SA,NORTHERN AREAS (DISTRICT COUNCIL)
BEGA,NSW,BEGA VALLEY (AREA)
BEGGAN BEGGAN,NSW,HILLTOPS (AREA)
BEGONIA,QLD,MARANOA (REGIONAL COUNCIL)
BEILBA,QLD,MARANOA (REGIONAL COUNCIL)
BEJOORDING,WA,TOODYAY (SHIRE)
BELAIR,SA,ADELAIDE HILLS (DISTRICT COUNCIL)
BELALIE EAST,SA,NORTHERN AREAS (DISTRICT COUNCIL)
BELALIE NORTH,SA,NORTHERN AREAS (DISTRICT COUNCIL)
BELANGLO,NSW,WINGECARRIBEE (AREA)
BELBORA,NSW,MID-COAST (AREA)
BELCONG,QLD,CENTRAL HIGHLANDS (REGIONAL COUNCIL)
BELCONNEN,ACT,UNINCORPORATED
BELDON,WA,JOONDALUP (CITY)
BELFIELD,NSW,CANTERBURY-BANKSTOWN (AREA)
BELFORD,NSW,SINGLETON (AREA)
BELFRAYDEN,NSW,WAGGA WAGGA (CITY)
BELGIAN GARDENS,QLD,TOWNSVILLE (CITY)
BELGRAVE,VIC,YARRA RANGES (SHIRE)
BELGRAVE HEIGHTS,VIC,YARRA RANGES (SHIRE)
BELGRAVE SOUTH,VIC,YARRA RANGES (SHIRE)
BELGRAVIA,NSW,CABONNE (AREA)
BELHUS,WA,SWAN (CITY)
BELIMBLA PARK,NSW,WOLLONDILLY (AREA)
BELIVAH,QLD,LOGAN (CITY)
BELL,NSW,BLUE MOUNTAINS (CITY)
BELL,QLD,WESTERN DOWNS (REGIONAL COUNCIL)
BELL BAY,TAS,GEORGE TOWN (MUNICIPALITY)
BELL PARK,VIC,GREATER GEELONG (CITY)
BELL POST HILL,VIC,GREATER GEELONG (CITY)
BELLA CREEK,QLD,GYMPIE (REGIONAL COUNCIL)
BELLA VISTA,NSW,THE HILLS SHIRE (AREA)
BELLAMACK,NT,PALMERSTON (CITY)
BELLAMBI,NSW,WOLLONGONG (CITY)
BELLANGRY,NSW,PORT MACQUARIE-HASTINGS (AREA)
BELLARA,QLD,MORETON BAY (REGIONAL COUNCIL)
BELLARINE,VIC,GREATER GEELONG (CITY)
BELLATA,NSW,MOREE PLAINS (AREA)
BELLAWONGARAH,NSW,SHOALHAVEN (CITY)
BELLBIRD,NSW,CESSNOCK (CITY)
BELLBIRD CREEK,VIC,EAST GIPPSLAND (SHIRE)
BELLBIRD HEIGHTS,NSW,CESSNOCK (CITY)
BELLBIRD PARK,QLD,IPSWICH (CITY)
BELLBOWRIE,QLD,BRISBANE (CITY)
BELLBRAE,VIC,SURF COAST (SHIRE)
BELLBRIDGE,VIC,TOWONG (SHIRE)
BELLBROOK,NSW,KEMPSEY (AREA)
BELLELLEN,VIC,NORTHERN GRAMPIANS (SHIRE)
BELLENDEN KER,QLD,CAIRNS (REGIONAL COUNCIL)
BELLERIVE,TAS,CLARENCE (CITY)
BELLEVUE,QLD,MAREEBA (SHIRE)
BELLEVUE,WA,MUNDARING (SHIRE)
BELLEVUE HEIGHTS,SA,MITCHAM (CITY)
