suburb,state,lga
AVENUE RANGE,SA,KINGSTON (DISTRICT COUNCIL)
AVISFORD,NSW,MID-WESTERN REGIONAL (AREA)
AVOCA,NSW,WINGECARRIBEE (AREA)
AVOCA,QLD,BUNDABERG (REGIONAL COUNCIL)
AVOCA,TAS,NORTHERN MIDLANDS (MUNICIPALITY)
AVOCA,VIC,PYRENEES (SHIRE)
AVOCA BEACH,NSW,CENTRAL COAST (CITY)
AVOCA DELL,SA,MURRAY BRIDGE (RURAL CITY)
AVOCA VALE,QLD,SOMERSET (REGIONAL COUNCIL)
AVON,NSW,WINGECARRIBEE (AREA)
AVON,SA,WAKEFIELD (DISTRICT COUNCIL)
AVON PLAINS,VIC,NORTHERN GRAMPIANS (SHIRE)
AVON VALLEY NATIONAL PARK,WA,SWAN (CITY)
AVONDALE,NSW,WOLLONGONG (CITY)
AVONDALE,QLD,BUNDABERG (REGIONAL COUNCIL)
AVONDALE HEIGHTS,VIC,MOONEE VALLEY (CITY)
AVONMORE,VIC,GREATER BENDIGO (CITY)
AVONSIDE,NSW,SNOWY MONARO REGIONAL (AREA)
AVONSLEIGH,VIC,CARDINIA (SHIRE)
AWABA,NSW,LAKE MACQUARIE (CITY)
AXE CREEK,VIC,GREATER BENDIGO (CITY)
AXEDALE,VIC,GREATER BENDIGO (CITY)
AYLMERTON,NSW,WINGECARRIBEE (AREA)
AYR,QLD,BURDEKIN (SHIRE)
AYRFORD,VIC,CORANGAMITE (SHIRE)
